Product,Strength,Units/Case,Standard Case,SPA Case,Individual Vial (stored),Public Individual Enabled?,Bulk 3-4 (5%),Bulk 5-9 (8%),Bulk 10-14 (10%),Bulk 15+ (15%),Supplier Cost,Pricing Source
"5-Amino-1MQ","10mg","10","$230","$160","$62","no (hidden)","$220","$210","$210","$200","$58","Wholesale x4 + Retatrutide SPA ratio"
"5-Amino-1MQ","50mg","10","$350","$250","$94","no (hidden)","$330","$320","$320","$300","$88","Wholesale x4 + Retatrutide SPA ratio"
"5-Amino-1MQ","5mg","10","$170","$120","$46","no (hidden)","$160","$160","$150","$140","$43","Wholesale x4 + Retatrutide SPA ratio"
"AOD 9604","5mg","10","$375","$260","$42","no (hidden)","$360","$350","$340","$320","$102","Owner Override"
"Ara-290","10mg","10","$320","$230","$86","no (hidden)","$300","$290","$290","$270","$80","Wholesale x4 + Retatrutide SPA ratio"
"B12 1mg/ml","10ml","10","$190","$130","$52","no (hidden)","$180","$170","$170","$160","$48","Wholesale x4 + Retatrutide SPA ratio"
"BPC 157","10mg","10","$310","$220","$84","no (hidden)","$290","$290","$280","$260","$78","Wholesale x4 + Retatrutide SPA ratio"
"BPC 157","5mg","10","$210","$150","$56","no (hidden)","$200","$190","$190","$180","$52","Wholesale x4 + Retatrutide SPA ratio"
"Botulinum Toxin","100 units","10","$580","$410","$156","no (hidden)","$550","$530","$520","$490","$145","Wholesale x4 + Retatrutide SPA ratio"
"CJC-1295 No DAC","10mg","10","$460","$320","$125","no (hidden)","$440","$420","$410","$390","$116","Wholesale x4 + Retatrutide SPA ratio"
"CJC-1295 No DAC","5mg","10","$350","$250","$93","no (hidden)","$330","$320","$320","$300","$87","Wholesale x4 + Retatrutide SPA ratio"
"CJC-1295 With DAC","2mg","10","$460","$320","$125","no (hidden)","$440","$420","$410","$390","$116","Wholesale x4 + Retatrutide SPA ratio"
"CJC-1295 With DAC","5mg","10","$660","$470","$176","no (hidden)","$630","$610","$590","$560","$164","Wholesale x4 + Retatrutide SPA ratio"
"CJC-1295 without DAC 5mg + Ipamorelin 5mg","10mg","10","$797","$562","$106","YES","$760","$730","$720","$680","$99","Protected (unchanged this pass)"
"Cagrilintide","10mg","10","$780","$550","$210","no (hidden)","$740","$720","$700","$660","$196","Wholesale x4 + Retatrutide SPA ratio"
"Cagrilintide","5mg","10","$400","$280","$108","no (hidden)","$380","$370","$360","$340","$101","Wholesale x4 + Retatrutide SPA ratio"
"Cagrilintide 2.5mg + Semaglutide 2.5mg","5mg","10","$420","$300","$112","no (hidden)","$400","$390","$380","$360","$104","Wholesale x4 + Retatrutide SPA ratio"
"Cagrilintide 5mg + Semaglutide 5mg","10mg","10","$630","$440","$170","no (hidden)","$600","$580","$570","$540","$158","Wholesale x4 + Retatrutide SPA ratio"
"Cerebrolysin (6 vials)","60mg","6","$190","$130","$86","no (hidden)","$180","$170","$170","$160","$48","Wholesale x4 + Retatrutide SPA ratio"
"DSIP","15mg","10","$400","$280","$106","no (hidden)","$380","$370","$360","$340","$99","Wholesale x4 + Retatrutide SPA ratio"
"DSIP","5mg","10","$230","$160","$62","no (hidden)","$220","$210","$210","$200","$58","Wholesale x4 + Retatrutide SPA ratio"
"Dermorphin","5mg","10","$230","$160","$62","no (hidden)","$220","$210","$210","$200","$58","Wholesale x4 + Retatrutide SPA ratio"
"Epithalon","10mg","10","$190","$130","$52","no (hidden)","$180","$170","$170","$160","$48","Wholesale x4 + Retatrutide SPA ratio"
"Epithalon","50mg","10","$490","$350","$132","no (hidden)","$470","$450","$440","$420","$123","Wholesale x4 + Retatrutide SPA ratio"
"G610","10mg","10","$220","$160","$58","no (hidden)","$210","$200","$200","$190","$54","Wholesale x4 + Retatrutide SPA ratio"
"GHK-Cu","100mg","10","$230","$160","$62","no (hidden)","$220","$210","$210","$200","$58","Wholesale x4 + Retatrutide SPA ratio"
"GHK-Cu","50mg","10","$140","$100","$39","no (hidden)","$130","$130","$130","$120","$36","Wholesale x4 + Retatrutide SPA ratio"
"GHRP-6 Acetate","5mg","10","$190","$130","$52","no (hidden)","$180","$170","$170","$160","$48","Wholesale x4 + Retatrutide SPA ratio"
"GLOW70","70mg","10","$725","$565","$89","YES","$690","$670","$650","$620","$186","Protected (unchanged this pass)"
"Glutathione","1200mg","10","$580","$409","$65","YES","$550","$530","$520","$490","$72","Owner Override"
"Glutathione","1500mg","10","$700","$539","$75","YES","$670","$640","$630","$600","$95","Owner Override"
