productId,slug,familyName,canonicalProductName,strength,vialSizeMl,finishedSizeInches,pixelSizeAt600Dpi,png,pdf,archived,storefrontVisible
cmp1x107r0031bot9t3tyvbej,5-amino-1mq-5mg,5-Amino-1MQ,5-Amino-1MQ,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/5-Amino-1MQ 5mg - 3mL Label.png,3ml/pdf/5-Amino-1MQ 5mg - 3mL Label.pdf,False,True
cmp1x108s0033bot9k0g3gg3v,5-amino-1mq-50mg,5-Amino-1MQ,5-Amino-1MQ,50mg,3,1.75 x 0.75,1050 x 450,3ml/png/5-Amino-1MQ 50mg - 3mL Label.png,3ml/pdf/5-Amino-1MQ 50mg - 3mL Label.pdf,False,True
cmp1x10870032bot9kj4ilpef,5-amino-1mq-10mg,5-Amino-1MQ,5-Amino-1MQ,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/5-Amino-1MQ 10mg - 3mL Label.png,3ml/pdf/5-Amino-1MQ 10mg - 3mL Label.pdf,False,True
cmp1x0zcv001mbot90jf63mc1,aod-9604-5mg,AOD 9604,AOD 9604,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/AOD 9604 5mg - 3mL Label.png,3ml/pdf/AOD 9604 5mg - 3mL Label.pdf,False,True
cmp1x104e002tbot9me1o84p2,ara-290-10mg,Ara-290,Ara-290,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/Ara-290 10mg - 3mL Label.png,3ml/pdf/Ara-290 10mg - 3mL Label.pdf,False,True
cmp1x10az0037bot98dqxdq6v,b12-10ml,B12,B12 1mg/ml,10ml,10,2.5 x 1.25,1500 x 750,10ml/png/B12 10ml - 10mL Label.png,10ml/pdf/B12 10ml - 10mL Label.pdf,False,True
cmp1x10kx0039bot9rq5on8ee,bac-water-10ml,BAC Water,BAC Water,10ml,10,2.5 x 1.25,1500 x 750,10ml/png/BAC Water 10ml - 10mL Label.png,10ml/pdf/BAC Water 10ml - 10mL Label.pdf,True,False
cmp1x10bi0038bot97bu2tgp9,bac-water-3ml,BAC Water,BAC Water,3ml,3,1.75 x 0.75,1050 x 450,3ml/png/BAC Water 3ml - 3mL Label.png,3ml/pdf/BAC Water 3ml - 3mL Label.pdf,True,False
cmp1x0z8m001dbot9tpvegtnx,bpc-157-5mg,BPC 157,BPC 157,5mg,3,1.75 x 0.75,1050 x 450,3ml/png/BPC 157 5mg - 3mL Label.png,3ml/pdf/BPC 157 5mg - 3mL Label.pdf,False,True
cmp1x0z93001ebot9hvie8m94,bpc-157-10mg,BPC 157,BPC 157,10mg,3,1.75 x 0.75,1050 x 450,3ml/png/BPC 157 10mg - 3mL Label.png,3ml/pdf/BPC 157 10mg - 3mL Label.pdf,False,True
