familyName,filename,displayLines,variantCount,status
5-Amino-1MQ,5-Amino-1MQ.png,5-Amino-1MQ,3,ACTIVE_OR_MIXED
AOD 9604,AOD 9604.png,AOD 9604,1,ACTIVE_OR_MIXED
Ara-290,Ara-290.png,Ara-290,1,ACTIVE_OR_MIXED
B12,B12.png,B12,1,ACTIVE_OR_MIXED
BAC Water,BAC Water.png,BAC Water,2,ARCHIVED_ONLY
BPC 157,BPC 157.png,BPC 157,2,ACTIVE_OR_MIXED
BPC 157 + TB500,BPC 157 + TB500.png,BPC 157 | TB500,2,ARCHIVED_ONLY
Botulinum Toxin Type A,Botulinum Toxin Type A.png,Botulinum | Toxin Type A,1,ARCHIVED_ONLY
CJC-1295 + Ipamorelin,CJC-1295 + Ipamorelin.png,CJC-1295 | Ipamorelin,1,ACTIVE_OR_MIXED
CJC-1295 No DAC,CJC-1295 No DAC.png,CJC-1295 No DAC,2,ACTIVE_OR_MIXED
CJC-1295 With DAC,CJC-1295 With DAC.png,CJC-1295 With DAC,2,ACTIVE_OR_MIXED
Cagrilintide,Cagrilintide.png,Cagrilintide,2,ACTIVE_OR_MIXED
Cagrilintide + Semaglutide,Cagrilintide + Semaglutide.png,Cagrilintide | Semaglutide,2,ACTIVE_OR_MIXED
Cerebrolysin,Cerebrolysin.png,Cerebrolysin,1,ACTIVE_OR_MIXED
DSIP,DSIP.png,DSIP,2,ACTIVE_OR_MIXED
Dermorphin,Dermorphin.png,Dermorphin,1,ACTIVE_OR_MIXED
EPO,EPO.png,EPO,1,ARCHIVED_ONLY
Epithalon,Epithalon.png,Epithalon,2,ACTIVE_OR_MIXED
G610,G610.png,G610,1,ACTIVE_OR_MIXED
GA = AA Water,GA = AA Water.png,GA = AA Water,1,ARCHIVED_ONLY
GHK-Cu,GHK-Cu.png,GHK-Cu,2,ACTIVE_OR_MIXED
GHRP-6 Acetate,GHRP-6 Acetate.png,GHRP-6 Acetate,1,ACTIVE_OR_MIXED
GLOW70,GLOW70.png,GLOW70,1,ACTIVE_OR_MIXED
Glutathione,Glutathione.png,Glutathione,3,ACTIVE_OR_MIXED
HCG,HCG.png,HCG,2,ACTIVE_OR_MIXED
HGH,HGH.png,HGH,3,ACTIVE_OR_MIXED
HMG,HMG.png,HMG,1,ACTIVE_OR_MIXED
Humanin,Humanin.png,Humanin,1,ACTIVE_OR_MIXED
IGF-DES,IGF-DES.png,IGF-DES,1,ACTIVE_OR_MIXED
IGF-ILR3,IGF-ILR3.png,IGF-ILR3,2,ARCHIVED_ONLY
Ipamorelin,Ipamorelin.png,Ipamorelin,2,ACTIVE_OR_MIXED
KLOW,KLOW.png,KLOW,1,ACTIVE_OR_MIXED
KPV (Lysine-Proline-Valine),KPV (Lysine-Proline-Valine).png,KPV | (Lysine-Proline-Valine),2,ARCHIVED_ONLY
KissPeptin-10,KissPeptin-10.png,KissPeptin-10,2,ACTIVE_OR_MIXED
LC Custom Ingredients,LC Custom Ingredients.png,LC Custom | Ingredients,1,ARCHIVED_ONLY
LC120,LC120.png,LC120,1,ARCHIVED_ONLY
LC216,LC216.png,LC216,1,ARCHIVED_ONLY
LL37,LL37.png,LL37,1,ACTIVE_OR_MIXED
Lemon Bottle,Lemon Bottle.png,Lemon Bottle,1,ARCHIVED_ONLY
MOTS-c,MOTS-c.png,MOTS-c,2,ACTIVE_OR_MIXED
MT-2,MT-2.png,MT-2,1,ACTIVE_OR_MIXED
MT1,MT1.png,MT1,1,ARCHIVED_ONLY
Mazdutide,Mazdutide.png,Mazdutide,1,ACTIVE_OR_MIXED
NAD+,NAD+.png,NAD+,2,ACTIVE_OR_MIXED
Oxytocin,Oxytocin.png,Oxytocin,2,ACTIVE_OR_MIXED
PNC 27,PNC 27.png,PNC 27,2,ACTIVE_OR_MIXED
PT-141,PT-141.png,PT-141,1,ACTIVE_OR_MIXED
Pinealon,Pinealon.png,Pinealon,3,ACTIVE_OR_MIXED
Retatrutide,Retatrutide.png,Retatrutide,10,ACTIVE_OR_MIXED
SLU-PP-332,SLU-PP-332.png,SLU-PP-332,1,ACTIVE_OR_MIXED
SS-31,SS-31.png,SS-31,2,ACTIVE_OR_MIXED
Selank,Selank.png,Selank,2,ACTIVE_OR_MIXED
Semaglutide,Semaglutide.png,Semaglutide,5,ACTIVE_OR_MIXED
Semax,Semax.png,Semax,2,ACTIVE_OR_MIXED
Sermorelin Acetate,Sermorelin Acetate.png,Sermorelin Acetate,2,ACTIVE_OR_MIXED
Snap-8,Snap-8.png,Snap-8,1,ACTIVE_OR_MIXED
Survodutide,Survodutide.png,Survodutide,1,ACTIVE_OR_MIXED
TB500,TB500.png,TB500,2,ACTIVE_OR_MIXED
Tesamorelin,Tesamorelin.png,Tesamorelin,2,ACTIVE_OR_MIXED
Thymalin,Thymalin.png,Thymalin,1,ACTIVE_OR_MIXED
Thymosin Alpha-1,Thymosin Alpha-1.png,Thymosin Alpha-1,2,ACTIVE_OR_MIXED
Tirzepatide,Tirzepatide.png,Tirzepatide,8,ACTIVE_OR_MIXED
VIP10,VIP10.png,VIP10,1,ARCHIVED_ONLY
VIP5,VIP5.png,VIP5,1,ARCHIVED_ONLY
